date,year,quarter,month,month_name,week,day,day_of_week,is_weekend
2017-07-02,2017,3,7,July,26,2,6,1
2017-07-03,2017,3,7,July,27,3,0,0
2017-07-04,2017,3,7,July,27,4,1,0
2017-07-05,2017,3,7,July,27,5,2,0
2017-07-06,2017,3,7,July,27,6,3,0
2017-07-07,2017,3,7,July,27,7,4,0
2017-07-08,2017,3,7,July,27,8,5,1
2017-07-09,2017,3,7,July,27,9,6,1
2017-07-10,2017,3,7,July,28,10,0,0
2017-07-11,2017,3,7,July,28,11,1,0
2017-07-12,2017,3,7,July,28,12,2,0
2017-07-13,2017,3,7,July,28,13,3,0
2017-07-14,2017,3,7,July,28,14,4,0
2017-07-15,2017,3,7,July,28,15,5,1
2017-07-16,2017,3,7,July,28,16,6,1
2017-07-17,2017,3,7,July,29,17,0,0
2017-07-18,2017,3,7,July,29,18,1,0
2017-07-19,2017,3,7,July,29,19,2,0
2017-07-20,2017,3,7,July,29,20,3,0
2017-07-21,2017,3,7,July,29,21,4,0
2017-07-22,2017,3,7,July,29,22,5,1
2017-07-23,2017,3,7,July,29,23,6,1
2017-07-24,2017,3,7,July,30,24,0,0
2017-07-25,2017,3,7,July,30,25,1,0
2017-07-26,2017,3,7,July,30,26,2,0
2017-07-27,2017,3,7,July,30,27,3,0
2017-07-28,2017,3,7,July,30,28,4,0
2017-07-29,2017,3,7,July,30,29,5,1
2017-07-30,2017,3,7,July,30,30,6,1
2017-07-31,2017,3,7,July,31,31,0,0
2017-08-01,2017,3,8,August,31,1,1,0
2017-08-02,2017,3,8,August,31,2,2,0
2017-08-03,2017,3,8,August,31,3,3,0
2017-08-04,2017,3,8,August,31,4,4,0
2017-08-05,2017,3,8,August,31,5,5,1
2017-08-06,2017,3,8,August,31,6,6,1
2017-08-07,2017,3,8,August,32,7,0,0
2017-08-08,2017,3,8,August,32,8,1,0
2017-08-09,2017,3,8,August,32,9,2,0
2017-08-10,2017,3,8,August,32,10,3,0
2017-08-11,2017,3,8,August,32,11,4,0
2017-08-12,2017,3,8,August,32,12,5,1
2017-08-13,2017,3,8,August,32,13,6,1
2017-08-14,2017,3,8,August,33,14,0,0
2017-08-15,2017,3,8,August,33,15,1,0
2017-08-16,2017,3,8,August,33,16,2,0
2017-08-17,2017,3,8,August,33,17,3,0
2017-08-18,2017,3,8,August,33,18,4,0
2017-08-19,2017,3,8,August,33,19,5,1
2017-08-20,2017,3,8,August,33,20,6,1
2017-08-21,2017,3,8,August,34,21,0,0
2017-08-22,2017,3,8,August,34,22,1,0
2017-08-23,2017,3,8,August,34,23,2,0
2017-08-24,2017,3,8,August,34,24,3,0
2017-08-25,2017,3,8,August,34,25,4,0
2017-08-26,2017,3,8,August,34,26,5,1
2017-08-27,2017,3,8,August,34,27,6,1
2017-08-28,2017,3,8,August,35,28,0,0
2017-08-29,2017,3,8,August,35,29,1,0
2017-08-30,2017,3,8,August,35,30,2,0
2017-08-31,2017,3,8,August,35,31,3,0
2017-09-01,2017,3,9,September,35,1,4,0
2017-09-02,2017,3,9,September,35,2,5,1
2017-09-03,2017,3,9,September,35,3,6,1
2017-09-04,2017,3,9,September,36,4,0,0
2017-09-05,2017,3,9,September,36,5,1,0
2017-09-06,2017,3,9,September,36,6,2,0
2017-09-07,2017,3,9,September,36,7,3,0
2017-09-08,2017,3,9,September,36,8,4,0
2017-09-09,2017,3,9,September,36,9,5,1
2017-09-10,2017,3,9,September,36,10,6,1
2017-09-11,2017,3,9,September,37,11,0,0
2017-09-12,2017,3,9,September,37,12,1,0
2017-09-13,2017,3,9,September,37,13,2,0
2017-09-14,2017,3,9,September,37,14,3,0
2017-09-15,2017,3,9,September,37,15,4,0
2017-09-16,2017,3,9,September,37,16,5,1
2017-09-17,2017,3,9,September,37,17,6,1
2017-09-18,2017,3,9,September,38,18,0,0
2017-09-19,2017,3,9,September,38,19,1,0
2017-09-20,2017,3,9,September,38,20,2,0
2017-09-21,2017,3,9,September,38,21,3,0
2017-09-22,2017,3,9,September,38,22,4,0
2017-09-23,2017,3,9,September,38,23,5,1
2017-09-24,2017,3,9,September,38,24,6,1
2017-09-25,2017,3,9,September,39,25,0,0
2017-09-26,2017,3,9,September,39,26,1,0
2017-09-27,2017,3,9,September,39,27,2,0
2017-09-28,2017,3,9,September,39,28,3,0
2017-09-29,2017,3,9,September,39,29,4,0
2017-09-30,2017,3,9,September,39,30,5,1
2017-10-01,2017,4,10,October,39,1,6,1
2017-10-02,2017,4,10,October,40,2,0,0
2017-10-03,2017,4,10,October,40,3,1,0
2017-10-04,2017,4,10,October,40,4,2,0
2017-10-05,2017,4,10,October,40,5,3,0
2017-10-06,2017,4,10,October,40,6,4,0
2017-10-07,2017,4,10,October,40,7,5,1
2017-10-08,2017,4,10,October,40,8,6,1
2017-10-09,2017,4,10,October,41,9,0,0
2017-10-10,2017,4,10,October,41,10,1,0
2017-10-11,2017,4,10,October,41,11,2,0
2017-10-12,2017,4,10,October,41,12,3,0
2017-10-13,2017,4,10,October,41,13,4,0
2017-10-14,2017,4,10,October,41,14,5,1
2017-10-15,2017,4,10,October,41,15,6,1
2017-10-16,2017,4,10,October,42,16,0,0
2017-10-17,2017,4,10,October,42,17,1,0
2017-10-18,2017,4,10,October,42,18,2,0
2017-10-19,2017,4,10,October,42,19,3,0
2017-10-20,2017,4,10,October,42,20,4,0
2017-10-21,2017,4,10,October,42,21,5,1
2017-10-22,2017,4,10,October,42,22,6,1
2017-10-23,2017,4,10,October,43,23,0,0
2017-10-24,2017,4,10,October,43,24,1,0
2017-10-25,2017,4,10,October,43,25,2,0
2017-10-26,2017,4,10,October,43,26,3,0
2017-10-27,2017,4,10,October,43,27,4,0
2017-10-28,2017,4,10,October,43,28,5,1
2017-10-29,2017,4,10,October,43,29,6,1
2017-10-30,2017,4,10,October,44,30,0,0
2017-10-31,2017,4,10,October,44,31,1,0
2017-11-01,2017,4,11,November,44,1,2,0
2017-11-02,2017,4,11,November,44,2,3,0
2017-11-03,2017,4,11,November,44,3,4,0
2017-11-04,2017,4,11,November,44,4,5,1
2017-11-05,2017,4,11,November,44,5,6,1
2017-11-06,2017,4,11,November,45,6,0,0
2017-11-07,2017,4,11,November,45,7,1,0
2017-11-08,2017,4,11,November,45,8,2,0
2017-11-09,2017,4,11,November,45,9,3,0
2017-11-10,2017,4,11,November,45,10,4,0
2017-11-11,2017,4,11,November,45,11,5,1
2017-11-12,2017,4,11,November,45,12,6,1
2017-11-13,2017,4,11,November,46,13,0,0
2017-11-14,2017,4,11,November,46,14,1,0
2017-11-15,2017,4,11,November,46,15,2,0
2017-11-16,2017,4,11,November,46,16,3,0
2017-11-17,2017,4,11,November,46,17,4,0
2017-11-18,2017,4,11,November,46,18,5,1
2017-11-19,2017,4,11,November,46,19,6,1
2017-11-20,2017,4,11,November,47,20,0,0
2017-11-21,2017,4,11,November,47,21,1,0
2017-11-22,2017,4,11,November,47,22,2,0
2017-11-23,2017,4,11,November,47,23,3,0
2017-11-24,2017,4,11,November,47,24,4,0
2017-11-25,2017,4,11,November,47,25,5,1
2017-11-26,2017,4,11,November,47,26,6,1
2017-11-27,2017,4,11,November,48,27,0,0
2017-11-28,2017,4,11,November,48,28,1,0
2017-11-29,2017,4,11,November,48,29,2,0
2017-11-30,2017,4,11,November,48,30,3,0
2017-12-01,2017,4,12,December,48,1,4,0
2017-12-02,2017,4,12,December,48,2,5,1
2017-12-03,2017,4,12,December,48,3,6,1
2017-12-04,2017,4,12,December,49,4,0,0
2017-12-05,2017,4,12,December,49,5,1,0
2017-12-06,2017,4,12,December,49,6,2,0
2017-12-07,2017,4,12,December,49,7,3,0
2017-12-08,2017,4,12,December,49,8,4,0
2017-12-09,2017,4,12,December,49,9,5,1
2017-12-10,2017,4,12,December,49,10,6,1
2017-12-11,2017,4,12,December,50,11,0,0
2017-12-12,2017,4,12,December,50,12,1,0
2017-12-13,2017,4,12,December,50,13,2,0
2017-12-14,2017,4,12,December,50,14,3,0
2017-12-15,2017,4,12,December,50,15,4,0
2017-12-16,2017,4,12,December,50,16,5,1
2017-12-17,2017,4,12,December,50,17,6,1
2017-12-18,2017,4,12,December,51,18,0,0
2017-12-19,2017,4,12,December,51,19,1,0
2017-12-20,2017,4,12,December,51,20,2,0
2017-12-21,2017,4,12,December,51,21,3,0
2017-12-22,2017,4,12,December,51,22,4,0
2017-12-23,2017,4,12,December,51,23,5,1
2017-12-24,2017,4,12,December,51,24,6,1
2017-12-25,2017,4,12,December,52,25,0,0
2017-12-26,2017,4,12,December,52,26,1,0
2017-12-27,2017,4,12,December,52,27,2,0
2017-12-28,2017,4,12,December,52,28,3,0
2017-12-29,2017,4,12,December,52,29,4,0
2017-12-30,2017,4,12,December,52,30,5,1
2017-12-31,2017,4,12,December,52,31,6,1
2018-01-01,2018,1,1,January,1,1,0,0
2018-01-02,2018,1,1,January,1,2,1,0
2018-01-03,2018,1,1,January,1,3,2,0
2018-01-04,2018,1,1,January,1,4,3,0
2018-01-05,2018,1,1,January,1,5,4,0
2018-01-06,2018,1,1,January,1,6,5,1
2018-01-07,2018,1,1,January,1,7,6,1
2018-01-08,2018,1,1,January,2,8,0,0
2018-01-09,2018,1,1,January,2,9,1,0
2018-01-10,2018,1,1,January,2,10,2,0
2018-01-11,2018,1,1,January,2,11,3,0
2018-01-12,2018,1,1,January,2,12,4,0
2018-01-13,2018,1,1,January,2,13,5,1
2018-01-14,2018,1,1,January,2,14,6,1
2018-01-15,2018,1,1,January,3,15,0,0
2018-01-16,2018,1,1,January,3,16,1,0
2018-01-17,2018,1,1,January,3,17,2,0
2018-01-18,2018,1,1,January,3,18,3,0
2018-01-19,2018,1,1,January,3,19,4,0
2018-01-20,2018,1,1,January,3,20,5,1
2018-01-21,2018,1,1,January,3,21,6,1
2018-01-22,2018,1,1,January,4,22,0,0
2018-01-23,2018,1,1,January,4,23,1,0
2018-01-24,2018,1,1,January,4,24,2,0
2018-01-25,2018,1,1,January,4,25,3,0
2018-01-26,2018,1,1,January,4,26,4,0
2018-01-27,2018,1,1,January,4,27,5,1
2018-01-28,2018,1,1,January,4,28,6,1
2018-01-29,2018,1,1,January,5,29,0,0
2018-01-30,2018,1,1,January,5,30,1,0
2018-01-31,2018,1,1,January,5,31,2,0
2018-02-01,2018,1,2,February,5,1,3,0
2018-02-02,2018,1,2,February,5,2,4,0
2018-02-03,2018,1,2,February,5,3,5,1
2018-02-04,2018,1,2,February,5,4,6,1
2018-02-05,2018,1,2,February,6,5,0,0
2018-02-06,2018,1,2,February,6,6,1,0
2018-02-07,2018,1,2,February,6,7,2,0
2018-02-08,2018,1,2,February,6,8,3,0
2018-02-09,2018,1,2,February,6,9,4,0
2018-02-10,2018,1,2,February,6,10,5,1
2018-02-11,2018,1,2,February,6,11,6,1
2018-02-12,2018,1,2,February,7,12,0,0
2018-02-13,2018,1,2,February,7,13,1,0
2018-02-14,2018,1,2,February,7,14,2,0
2018-02-15,2018,1,2,February,7,15,3,0
2018-02-16,2018,1,2,February,7,16,4,0
2018-02-17,2018,1,2,February,7,17,5,1
2018-02-18,2018,1,2,February,7,18,6,1
2018-02-19,2018,1,2,February,8,19,0,0
2018-02-20,2018,1,2,February,8,20,1,0
2018-02-21,2018,1,2,February,8,21,2,0
2018-02-22,2018,1,2,February,8,22,3,0
2018-02-23,2018,1,2,February,8,23,4,0
2018-02-24,2018,1,2,February,8,24,5,1
2018-02-25,2018,1,2,February,8,25,6,1
2018-02-26,2018,1,2,February,9,26,0,0
2018-02-27,2018,1,2,February,9,27,1,0
2018-02-28,2018,1,2,February,9,28,2,0
2018-03-01,2018,1,3,March,9,1,3,0
2018-03-02,2018,1,3,March,9,2,4,0
2018-03-03,2018,1,3,March,9,3,5,1
2018-03-04,2018,1,3,March,9,4,6,1
2018-03-05,2018,1,3,March,10,5,0,0
2018-03-06,2018,1,3,March,10,6,1,0
2018-03-07,2018,1,3,March,10,7,2,0
2018-03-08,2018,1,3,March,10,8,3,0
2018-03-09,2018,1,3,March,10,9,4,0
2018-03-10,2018,1,3,March,10,10,5,1
